,A_Rev_W_reviews_word2vec_vec_15_cbow_mc_100.txt,A_Rev_W_reviews_word2vec_vec_15_sg_mc_100.txt,A_Rev_W_reviews_word2vec_vec_5_cbow_mc_100.txt,A_Rev_W_reviews_word2vec_vec_5_sg_mc_100.txt,B_Rev_G_reviews.txt_vectors_mc_100.ws_15.txt,B_Rev_G_reviews.txt_vectors_mc_100.ws_5.txt,C_Rev_DLreviews_output_res_150_it_50_mc_100_cbow.txt,C_Rev_DLreviews_output_res_150_it_50_mc_100_sg.txt,D_Rev_YL_dim150vecs_reviews_100.txt,EA_Rev_OL_Reviews_WN.txt,EA_Rev_OL_Reviews_WN_Unique.txt,E_Rev_OL_Reviews_DP_Unique.txt,E_Rev_OL_Reviews_DP_Unique_Useful.txt,E_Rev_OL_Reviews_WN_DP.txt,E_Rev_OL_Reviews_WN_DP_Unique.txt,E_Rev_OL_Reviews_WN_DP_Unique_Useful.txt,Eval_Dataset,FA_Rev_OL_reviewsUD_WN.txt,FA_Rev_OL_reviewsUD_WN_Unique.txt,F_Rev_OL_reviewsUD_DP_Unique.txt,F_Rev_OL_reviewsUD_DP_Unique_Useful.txt,F_Rev_OL_reviewsUD_WN_DP_Unique.txt,F_Rev_OL_reviewsUD_WN_DP_Unique_Useful.txt,G_Rev_OL_Reviews_WN_DP_Unique_Useful_L2.txt,G_Rev_OL_reviewsUD_WN_DP_Unique_Useful_L2.txt
0,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS
1,0.06398,0.04738,0.05457,0.04954,0.04542,0.05024,0.01112,0.0188,0.04155,0.04326,0.04025,0.03843,0.03258,0.04884,0.05811,0.04769,2012_MSRpar_FYB,0.02723,0.0338,0.03847,0.03834,0.0483,0.0389,0.03877,0.03624
2,0.22564,0.35887,0.25141,0.34451,0.16808,0.12557,0.0487,0.0208,0.108,-0.08806,-0.09729,0.23986,0.12744,0.17396,0.16683,0.13511,2012_MSRvid_FYB,-0.12198,-0.1126,0.23379,0.20992,0.25174,0.11881,0.30062,0.28784
3,0.276,0.2273,0.27583,0.23766,0.23927,0.2397,0.18964,0.24502,0.22585,0.30213,0.31662,0.28842,0.30195,0.30436,0.2763,0.30722,2012_SMTeuroparl_FYC,0.26049,0.27322,0.28516,0.3141,0.2719,0.28698,0.31422,0.31192
4,0.49062,0.34505,0.47204,0.37258,0.39071,0.40088,0.10619,0.26034,0.37089,0.52304,0.51603,0.44404,0.51763,0.44662,0.44164,0.50467,2012_surprise.OnWN_FYC,0.46895,0.48154,0.45312,0.51865,0.46662,0.51385,0.51096,0.54702
5,0.29478,0.21673,0.27587,0.23485,0.2379,0.23655,0.05545,0.04466,0.28013,0.33567,0.30164,0.32265,0.36391,0.31135,0.3261,0.34004,2012_surprise.SMTnews_FYC,0.29468,0.30927,0.36389,0.34757,0.37015,0.35256,0.32804,0.27463
6,0.19072,0.11457,0.20349,0.12883,0.16437,0.15783,0.23098,0.21657,0.16262,0.1361,0.15215,0.17763,0.11182,0.21613,0.20271,0.20641,2013_FNWN_FYC,0.22083,0.14196,0.21794,0.08784,0.20821,0.13249,0.22666,0.24245
7,0.45126,0.38261,0.444,0.40155,0.40974,0.39485,0.27886,0.05672,0.34078,0.18975,0.28265,0.25973,0.34504,0.26351,0.3104,0.26996,2013_OnWN_FYC,0.12442,0.06123,0.33488,0.3607,0.29637,0.26772,0.42476,0.45893
8,0.37829,0.25618,0.36538,0.27918,0.3082,0.29825,-0.02194,0.33884,0.27394,0.48164,0.46893,0.47796,0.50068,0.47708,0.47898,0.51551,2013_headlines_FYB,0.44445,0.46004,0.46454,0.51069,0.47759,0.4933,0.53507,0.52656
9,0.55668,0.42567,0.53158,0.44382,0.45567,0.46231,0.32559,0.06424,0.40318,0.36674,0.40894,0.35577,0.43842,0.3507,0.39127,0.39387,2014_OnWN_FYC,0.23838,0.1935,0.3712,0.43338,0.35885,0.37747,0.49747,0.52042
10,0.07706,-0.02056,0.07178,-0.00686,0.00595,0.01967,-0.06886,-0.03179,0.0096,0.09417,0.12269,0.06979,0.10287,0.06816,0.08263,0.07072,2014_deft-forum_FYB,0.05637,0.08379,0.07406,0.09854,0.0506,0.06718,0.05174,0.05681
11,0.46027,0.42262,0.45389,0.44786,0.4405,0.43857,0.34716,0.22407,0.43315,0.38905,0.41718,0.49411,0.53172,0.46735,0.46142,0.45308,2014_deft-news_FYB,0.39416,0.37406,0.51404,0.52137,0.4764,0.49839,0.4943,0.51196
12,0.37277,0.25258,0.36431,0.26582,0.29576,0.30304,-0.01613,0.30311,0.27856,0.46386,0.47548,0.46014,0.47848,0.48001,0.45677,0.49296,2014_headlines_FYB,0.4605,0.45747,0.47511,0.48319,0.46911,0.48938,0.51173,0.51365
13,0.42296,0.39222,0.37824,0.39061,0.29077,0.26511,0.18982,0.01999,0.25851,0.27168,0.24011,0.27217,0.37688,0.27382,0.2566,0.31797,2014_images_FYB,0.26468,0.28653,0.26763,0.38171,0.27258,0.33432,0.41982,0.41589
14,0.54858,0.35931,0.53986,0.39171,0.43406,0.44337,0.13146,0.2733,0.45117,0.60334,0.62407,0.5878,0.62928,0.59758,0.57407,0.61769,2014_tweet-news_FYC,0.59131,0.59299,0.59031,0.64136,0.58875,0.61839,0.60596,0.64084
15,0.17434,0.07833,0.15605,0.08596,0.11811,0.12701,0.11634,0.11198,0.12302,0.06442,0.09013,0.10099,0.12711,0.07419,0.08907,0.07154,2015_answers-forums_FYB,0.02317,0.06076,0.11342,0.15447,0.07454,0.13897,0.12435,0.14409
16,0.39665,0.18321,0.38371,0.20711,0.23899,0.25051,0.06508,0.18103,0.25924,0.41673,0.40627,0.40411,0.49654,0.40397,0.4055,0.42005,2015_belief_FYC,0.33965,0.36032,0.44234,0.48091,0.41368,0.43037,0.41591,0.43422
17,0.47376,0.3617,0.46121,0.38634,0.42173,0.42944,0.17757,0.41298,0.38617,0.5415,0.54615,0.5281,0.56769,0.54181,0.53648,0.56622,2015_headlines_FYB,0.52092,0.53257,0.54097,0.57411,0.54111,0.56774,0.58162,0.58078
18,0.51841,0.48758,0.48631,0.49103,0.41531,0.38123,0.26943,0.10013,0.42298,0.3364,0.33613,0.43854,0.48167,0.40531,0.4206,0.45005,2015_images_FYB,0.35722,0.33896,0.42363,0.48918,0.43063,0.45553,0.54538,0.56667
19,0.20148,0.13583,0.22118,0.15005,0.09475,0.10516,0.08847,0.09684,0.20227,0.27108,0.25677,0.27351,0.31476,0.27035,0.26887,0.25212,2016_answer-answer_FYB,0.21081,0.23942,0.26911,0.32198,0.27792,0.24753,0.2803,0.29
20,0.35642,0.23133,0.34403,0.25245,0.31865,0.31582,0.13291,0.28587,0.29524,0.5231,0.52259,0.51778,0.5552,0.52014,0.51466,0.56361,2016_headlines_FYB,0.52978,0.54938,0.50333,0.55137,0.51064,0.5523,0.58848,0.57869
21,0.43437,0.22329,0.37484,0.24253,0.28384,0.28619,0.20982,-0.04455,0.36418,0.40757,0.4495,0.37029,0.48873,0.33301,0.36304,0.41291,2016_plagiarism_FYC,0.40813,0.37739,0.31377,0.50507,0.33895,0.37402,0.42379,0.4141
22,0.26427,0.14308,0.23724,0.1555,0.19699,0.20277,0.06758,0.1592,0.15808,0.29934,0.30233,0.24217,0.33095,0.26905,0.23814,0.27795,2016_postediting_FYC,0.29699,0.28054,0.25882,0.30071,0.25249,0.2668,0.25778,0.25476
23,-0.1252,0.0017,-0.0974,-0.03307,-0.04381,-0.06366,-0.04476,-0.09756,-0.02947,-0.1317,-0.15,0.00123,-0.09529,-0.03238,-0.03201,-0.08959,2016_question-question_FYC,-0.15445,-0.17125,-0.00146,0.06646,-0.04118,-0.02781,0.01591,0.05581
