,A_WIKI_W_wikipedia_word2vec_vec_15_cbow_mc_100.txt,A_WIKI_W_wikipedia_word2vec_vec_15_sg_mc_100.txt,A_WIKI_W_wikipedia_word2vec_vec_5_cbow_mc_100.txt,A_WIKI_W_wikipedia_word2vec_vec_5_sg_mc_100.txt,B_WIKI_G_wikipedia.txt_vectors_mc_100.ws_15.txt,B_WIKI_G_wikipedia.txt_vectors_mc_100.ws_5.txt,C_wikipedia_output_res_150_it_50_mc_100_cbow.txt,C_wikipedia_output_res_150_it_50_mc_100_sg.txt,D_WIKI_YL_dim150vecs_wikipedia_100.txt,EA_WIKI_OL_Wikipedia_WN.txt,EA_WIKI_OL_Wikipedia_WN_Unique.txt,E_WIKI_OL_Wikipedia_DP_Unique.txt,E_WIKI_OL_Wikipedia_DP_Unique_Useful.txt,E_WIKI_OL_Wikipedia_WN_DP_Unique.txt,E_WIKI_OL_Wikipedia_WN_DP_Unique_Useful.txt,Eval_Dataset,FA_WIKI_OL_wikipediaUD_WN.txt,FA_WIKI_OL_wikipediaUD_WN_Unique.txt,F_WIKI_OL_wikipediaUD_DP_Unique.txt,F_WIKI_OL_wikipediaUD_DP_Unique_Useful.txt,F_WIKI_OL_wikipediaUD_WN_DP_Unique.txt,F_WIKI_OL_wikipediaUD_WN_DP_Unique_Useful.txt,G_WIKI_OL_Wikipedia_WN_DP_Unique_Useful_L2.txt,G_WIKI_OL_wikipediaUD_WN_DP_Unique_Useful_L2.txt
0,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS,STS
1,0.02688,0.01951,0.02707,0.02459,0.02125,0.0192,0.02294,0.01683,0.04158,0.02788,0.01154,0.04112,0.03848,0.0387,0.02603,2012_MSRpar_FYB,0.02315,0.01516,0.04181,0.02892,0.03848,0.0324,0.02856,0.02969
2,0.3266,0.41352,0.27295,0.39703,0.26535,0.15879,-0.05494,0.11235,0.10311,-0.0795,-0.03509,0.21231,0.11594,0.22091,0.15111,2012_MSRvid_FYB,0.03254,-0.01118,0.21078,0.14851,0.20722,0.13304,0.25484,0.30349
3,0.42968,0.46901,0.43354,0.4705,0.40631,0.41147,0.5123,0.41891,0.43827,0.35134,0.33978,0.44031,0.43094,0.42315,0.4457,2012_SMTeuroparl_FYC,0.35339,0.35225,0.3879,0.40316,0.437,0.40946,0.45827,0.44497
4,0.55141,0.46591,0.53277,0.49507,0.52765,0.51976,0.27345,0.31647,0.40825,0.4815,0.46673,0.4653,0.50975,0.46677,0.50747,2012_surprise.OnWN_FYC,0.45203,0.43021,0.48676,0.50002,0.47668,0.51153,0.50749,0.53602
5,0.41003,0.3807,0.36553,0.38317,0.40572,0.39985,0.10218,0.06871,0.35,0.31541,0.30892,0.33775,0.35381,0.3464,0.33586,2012_surprise.SMTnews_FYC,0.29128,0.23937,0.40649,0.35894,0.34759,0.34905,0.39166,0.34678
6,0.19002,0.21825,0.15972,0.20302,0.16069,0.16805,0.03476,0.15632,0.21133,0.09084,0.07655,0.20496,0.15883,0.21969,0.17481,2013_FNWN_FYC,0.15095,0.09367,0.18463,0.13026,0.2368,0.15213,0.21888,0.21602
7,0.22144,0.19744,0.25994,0.23435,0.08176,0.09731,0.26649,0.12709,0.36393,0.18013,0.18226,0.31435,0.22798,0.336,0.3111,2013_OnWN_FYC,0.14454,0.07751,0.37134,0.38931,0.35863,0.32423,0.46525,0.51388
8,0.59873,0.56715,0.57711,0.56352,0.56981,0.55214,0.35956,0.51182,0.52212,0.51144,0.51786,0.57021,0.60398,0.56594,0.59486,2013_headlines_FYB,0.52144,0.56137,0.56825,0.57216,0.56809,0.57541,0.61509,0.60405
9,0.41866,0.37113,0.43092,0.40401,0.29891,0.31532,0.28865,0.1535,0.43734,0.33271,0.3397,0.36403,0.34186,0.39012,0.39659,2014_OnWN_FYC,0.26997,0.17942,0.39106,0.42381,0.41276,0.43197,0.51392,0.53838
10,0.08477,0.01103,0.07176,0.01945,0.07551,0.08666,-0.0099,-0.01203,0.02922,0.09288,0.091,0.06418,0.0878,0.07617,0.07931,2014_deft-forum_FYB,0.13285,0.09995,0.08658,0.10151,0.06871,0.08114,0.07028,0.07273
11,0.56997,0.5667,0.54172,0.56777,0.49715,0.49013,0.36035,0.36574,0.53756,0.38411,0.38723,0.51915,0.5034,0.536,0.52299,2014_deft-news_FYB,0.39817,0.35389,0.52765,0.55752,0.51713,0.54367,0.57024,0.58438
12,0.55642,0.50997,0.53333,0.51163,0.52878,0.51788,0.31607,0.43748,0.475,0.49108,0.48464,0.51313,0.52592,0.52451,0.53886,2014_headlines_FYB,0.46893,0.50994,0.52288,0.53926,0.51732,0.53126,0.56464,0.55602
13,0.43631,0.49856,0.38568,0.48561,0.40246,0.3356,0.12633,0.14916,0.25813,0.22484,0.24725,0.27247,0.29064,0.29483,0.28032,2014_images_FYB,0.22699,0.17842,0.28135,0.31408,0.25367,0.34292,0.41483,0.42892
14,0.6547,0.56938,0.63388,0.58752,0.61481,0.62064,0.34144,0.4633,0.55528,0.6143,0.60786,0.60727,0.64778,0.61167,0.62738,2014_tweet-news_FYC,0.62418,0.61124,0.60877,0.65092,0.60918,0.65527,0.64442,0.65618
15,0.13845,0.14694,0.14178,0.13266,0.10383,0.08951,0.07153,0.07763,0.15333,0.12506,0.12465,0.09405,0.11,0.0948,0.08197,2015_answers-forums_FYB,0.02089,0.08813,0.0854,0.12257,0.12505,0.11722,0.13266,0.13942
16,0.50669,0.40434,0.48573,0.41478,0.43752,0.45191,0.18587,0.2515,0.30884,0.38149,0.39489,0.41276,0.44823,0.40714,0.45109,2015_belief_FYC,0.41475,0.38677,0.44063,0.45003,0.42514,0.4782,0.42481,0.42636
17,0.64558,0.61089,0.62093,0.61254,0.62936,0.61862,0.41543,0.58434,0.55118,0.56767,0.55754,0.588,0.60894,0.60759,0.62512,2015_headlines_FYB,0.54349,0.58026,0.5877,0.60246,0.60121,0.61944,0.6407,0.63383
18,0.57223,0.54417,0.52459,0.53972,0.50826,0.46364,0.19377,0.30406,0.41563,0.30043,0.33,0.40289,0.41631,0.45604,0.43342,2015_images_FYB,0.31882,0.26804,0.41857,0.41862,0.41657,0.45716,0.54018,0.54243
19,0.17292,0.1362,0.19582,0.15586,0.1372,0.16459,0.10163,0.19331,0.20418,0.27491,0.22827,0.26568,0.23329,0.2559,0.22444,2016_answer-answer_FYB,0.18366,0.18958,0.27806,0.26314,0.27717,0.21996,0.23569,0.29011
20,0.61153,0.58284,0.60101,0.58702,0.56513,0.56866,0.2076,0.5488,0.56626,0.57443,0.59236,0.57992,0.62993,0.59349,0.62498,2016_headlines_FYB,0.56207,0.585,0.59058,0.63859,0.59895,0.61451,0.65172,0.62019
21,0.53543,0.42137,0.49255,0.43516,0.41154,0.43372,0.21175,0.10139,0.44121,0.45291,0.44572,0.37884,0.4158,0.40819,0.43045,2016_plagiarism_FYC,0.47001,0.43237,0.41278,0.50104,0.37649,0.45942,0.4764,0.48394
22,0.28162,0.15306,0.25966,0.17625,0.21431,0.23521,0.13439,0.19961,0.17767,0.30569,0.28585,0.27311,0.27706,0.27424,0.28819,2016_postediting_FYC,0.3026,0.31672,0.26309,0.28408,0.27545,0.29012,0.26225,0.26864
23,-0.04292,-0.00842,-0.02592,-0.01062,-0.07728,-0.10042,-0.09189,-0.14532,-0.03156,-0.13676,-0.10589,0.00153,-0.04985,-0.01183,-0.05205,2016_question-question_FYC,-0.05901,-0.09928,0.04881,0.05697,0.00784,-0.0211,0.06457,0.09394
24,0.52853,0.47896,0.48773,0.48769,0.50553,0.50803,0.25305,0.22532,0.41623,0.46304,0.47783,0.42718,0.45988,0.42631,0.45553,2017_track5.en-en_FYB,0.4465,0.42376,0.4249,0.47164,0.41862,0.47205,0.47789,0.50464
25,0.05563,0.03852,0.05268,0.04185,0.04226,0.0348,0.03562,0.01751,0.05178,0.04265,0.02361,0.0667,0.05072,0.05482,0.04915,2018_MSRpar_FYB,0.03241,0.03731,0.05803,0.05521,0.06124,0.05129,0.0614,0.05755
26,0.54856,0.59721,0.51444,0.58631,0.54428,0.51005,0.33791,0.48928,0.57615,0.47009,0.48709,0.58588,0.58594,0.60391,0.58986,SICK__FYC,0.49498,0.48701,0.59382,0.59994,0.58646,0.60106,0.63916,0.65366
27,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS,WS
28,0.48974011071986706,0.5475376517196279,0.5013680183766237,0.531463779370582,0.28009577561422566,0.3084815501880727,0.07219416533496,0.44523841897704,0.77688806587416,0.73105832269224,0.72465201450552,0.48614023278456,0.54527538527736,0.65837136441984,0.67857587485488,EN-MC-30.txt,0.6421091974843199,0.7465813002216,0.41542444626192,0.49574969506464,0.61820874001848,0.66256010438808,0.76678581065664,0.63767406104736
29,0.5507723843983023,0.5712166556529455,0.4880326345693678,0.5429551526576398,0.42001015686991616,0.30578799760921027,0.07169388946388587,0.5550804926706355,0.5615305400800873,0.4246397346962218,0.4597095541774145,0.48484347256258387,0.5159882137520752,0.5727641141167538,0.5883136378944572,EN-MEN-TR-3k.txt,0.4339613536367263,0.46970193497651,0.5404081578767227,0.5691230609648209,0.6222029323788162,0.6235872770068568,0.6587858685872294,0.6623588804508183
